L. de onda,Abs
323.5,0.17389
324,0.1727
324.5,0.173
325,0.17035
325.5,0.1695
326,0.16728
326.5,0.16531
327,0.16479
327.5,0.16343
328,0.1618
328.5,0.16079
329,0.15895
329.5,0.15759
330,0.15647
330.5,0.15543
331,0.15432
331.5,0.15283
332,0.15185
332.5,0.15068
333,0.14909
333.5,0.14823
334,0.14747
334.5,0.14569
335,0.14489
335.5,0.14418
336,0.14306
336.5,0.14189
337,0.14106
337.5,0.14044
338,0.13928
338.5,0.13842
339,0.13717
339.5,0.13628
340,0.1356
340.5,0.13487
341,0.13397
341.5,0.13329
342,0.13242
342.5,0.13174
343,0.13017
343.5,0.13029
344,0.12917
344.5,0.12855
345,0.12795
345.5,0.12679
346,0.12611
346.5,0.12525
347,0.12484
347.5,0.12411
348,0.12385
348.5,0.12301
349,0.12279
349.5,0.12158
350,0.1213
350.5,0.12048
351,0.12031
351.5,0.11922
352,0.11895
352.5,0.11863
353,0.11793
353.5,0.11762
354,0.11675
354.5,0.11613
355,0.1155
355.5,0.11533
356,0.11456
356.5,0.1141
357,0.11351
357.5,0.11352
358,0.11299
358.5,0.1122
359,0.11208
359.5,0.11178
360,0.11093
360.5,0.1107
361,0.11023
361.5,0.10956
362,0.10943
362.5,0.10912
363,0.10888
363.5,0.10854
364,0.10802
364.5,0.10765
365,0.10701
365.5,0.10679
366,0.10677
366.5,0.10639
367,0.10572
367.5,0.10568
368,0.10521
368.5,0.10501
369,0.10475
369.5,0.10458
370,0.10383
370.5,0.10349
371,0.10332
371.5,0.10324
372,0.10247
372.5,0.10285
373,0.10179
373.5,0.10174
374,0.10116
374.5,0.10108
375,0.10082
375.5,0.10084
376,0.10019
376.5,0.10011
377,0.09984
377.5,0.09963
378,0.09918
378.5,0.09925
379,0.09892
379.5,0.0985
380,0.09831
380.5,0.09816
381,0.0979
381.5,0.0979
382,0.09746
382.5,0.09693
383,0.09674
383.5,0.09699
384,0.0966
384.5,0.09607
385,0.09622
385.5,0.09559
386,0.09592
386.5,0.09532
387,0.09518
387.5,0.09522
388,0.09477
388.5,0.09487
389,0.09461
389.5,0.0945
390,0.09436
390.5,0.09406
391,0.0939
391.5,0.09333
392,0.09345
392.5,0.0931
393,0.09303
393.5,0.09265
394,0.09289
394.5,0.09234
395,0.09239
395.5,0.09203
396,0.09232
396.5,0.09186
397,0.09236
397.5,0.09136
398,0.09161
398.5,0.09119
399,0.09099
399.5,0.09104
400,0.09094
400.5,0.09079
401,0.09082
401.5,0.09039
402,0.09053
402.5,0.09013
403,0.09
403.5,0.08948
404,0.08965
404.5,0.08948
405,0.08944
405.5,0.08935
406,0.08936
406.5,0.08883
407,0.08918
407.5,0.08884
408,0.08836
408.5,0.08885
409,0.08881
409.5,0.08816
410,0.08791
410.5,0.08805
411,0.08789
411.5,0.08788
412,0.08759
412.5,0.0875
413,0.08734
413.5,0.08743
414,0.08702
414.5,0.08734
415,0.0866
415.5,0.08668
416,0.08644
416.5,0.08654
417,0.08671
417.5,0.08651
418,0.08622
418.5,0.08627
419,0.0862
419.5,0.08591
420,0.08615
420.5,0.08573
421,0.08557
421.5,0.08552
422,0.08567
422.5,0.08537
423,0.08523
423.5,0.08505
424,0.08488
424.5,0.08497
425,0.08486
425.5,0.08493
426,0.08459
426.5,0.08449
427,0.08449
427.5,0.08456
428,0.08443
428.5,0.08408
429,0.08433
429.5,0.08456
430,0.08401
430.5,0.08376
431,0.08358
431.5,0.08333
432,0.08351
432.5,0.08327
433,0.08339
433.5,0.08317
434,0.08323
434.5,0.08304
435,0.08311
435.5,0.0829
436,0.08289
436.5,0.08304
437,0.08285
437.5,0.08268
438,0.08254
438.5,0.08226
439,0.08223
439.5,0.08219
440,0.08223
440.5,0.08209
441,0.08174
441.5,0.08178
442,0.08175
442.5,0.08188
443,0.08185
443.5,0.08131
444,0.08111
444.5,0.0812
445,0.08149
445.5,0.08088
446,0.08117
446.5,0.08077
447,0.0808
447.5,0.08073
448,0.08091
448.5,0.08067
449,0.08054
449.5,0.08063
450,0.08043
450.5,0.08048
451,0.08016
451.5,0.08009
452,0.07966
452.5,0.07999
453,0.07954
453.5,0.07985
454,0.08001
454.5,0.07972
455,0.07955
455.5,0.07964
456,0.07913
456.5,0.07932
457,0.07912
457.5,0.07889
458,0.07894
458.5,0.07891
459,0.07872
459.5,0.07878
460,0.07829
460.5,0.07845
461,0.0785
461.5,0.07869
462,0.07887
462.5,0.07847
463,0.07831
463.5,0.07785
464,0.07792
464.5,0.07802
465,0.07749
465.5,0.0782
466,0.07776
466.5,0.07778
467,0.07767
467.5,0.07738
468,0.07787
468.5,0.07772
469,0.07697
469.5,0.07735
470,0.07717
470.5,0.0768
471,0.07691
471.5,0.07702
472,0.07705
472.5,0.07699
473,0.07642
473.5,0.07623
474,0.07659
474.5,0.07664
475,0.07611
475.5,0.07583
476,0.07584
476.5,0.07584
477,0.07591
477.5,0.07539
478,0.07546
478.5,0.07591
479,0.07587
479.5,0.07569
480,0.07533
480.5,0.07538
481,0.07524
481.5,0.07502
482,0.07487
482.5,0.07501
483,0.07469
483.5,0.07427
484,0.07462
484.5,0.07466
485,0.0749
485.5,0.07527
486,0.07464
486.5,0.07462
487,0.07436
487.5,0.0741
488,0.07407
488.5,0.07463
489,0.07433
489.5,0.07426
490,0.07425
490.5,0.0738
491,0.07354
491.5,0.07348
492,0.0735
492.5,0.07376
493,0.07396
493.5,0.07366
494,0.07372
494.5,0.07361
495,0.07309
495.5,0.07306
496,0.07308
496.5,0.07331
497,0.07302
497.5,0.07296
498,0.07272
498.5,0.07293
499,0.07269
499.5,0.07286
500,0.07258
500.5,0.07274
501,0.07257
501.5,0.0722
502,0.07249
502.5,0.07255
503,0.0724
503.5,0.07188
504,0.07213
504.5,0.07182
505,0.07199
505.5,0.07216
506,0.07189
506.5,0.0716
507,0.07196
507.5,0.07204
508,0.07152
508.5,0.07152
509,0.07099
509.5,0.07156
510,0.07132
510.5,0.07113
511,0.07156
511.5,0.07105
512,0.07058
512.5,0.07102
513,0.07088
513.5,0.07104
514,0.07072
514.5,0.07073
515,0.0705
515.5,0.07038
516,0.07068
516.5,0.07051
517,0.07062
517.5,0.07059
518,0.07
518.5,0.07017
519,0.07049
519.5,0.07041
520,0.07035
520.5,0.0704
521,0.07031
521.5,0.07025
522,0.07018
522.5,0.06994
523,0.06989
523.5,0.06989
524,0.06968
524.5,0.0694
525,0.06988
525.5,0.06948
526,0.06979
526.5,0.06972
527,0.06974
527.5,0.06912
528,0.06941
528.5,0.0695
529,0.06928
529.5,0.0696
530,0.0696
530.5,0.06955
531,0.06974
531.5,0.0693
532,0.06909
532.5,0.06891
533,0.0692
533.5,0.06915
534,0.0694
534.5,0.06924
535,0.06945
535.5,0.06898
536,0.06896
536.5,0.06896
537,0.0688
537.5,0.06875
538,0.06877
538.5,0.06859
539,0.06877
539.5,0.06888
540,0.06835
540.5,0.06835
541,0.06823
541.5,0.06846
542,0.06857
542.5,0.06888
543,0.06884
543.5,0.06885
544,0.06882
544.5,0.06855
545,0.06922
545.5,0.06843
546,0.06844
546.5,0.0688
547,0.06865
547.5,0.0685
548,0.0686
548.5,0.06841
549,0.0683
549.5,0.06871
550,0.06783
550.5,0.0687
551,0.06868
551.5,0.06802
552,0.068
552.5,0.06882
553,0.06864
553.5,0.06785
554,0.0681
554.5,0.0683
555,0.06846
555.5,0.06899
556,0.06853
556.5,0.06905
557,0.06786
557.5,0.06843
558,0.06904
558.5,0.0685
559,0.06847
559.5,0.06863
560,0.06872
560.5,0.06882
561,0.06817
561.5,0.06844
562,0.06897
562.5,0.06933
563,0.06892
563.5,0.06855
564,0.06875
564.5,0.06792
565,0.06809
565.5,0.06811
566,0.06835
566.5,0.06872
567,0.06874
567.5,0.06834
568,0.06829
568.5,0.06877
569,0.06871
569.5,0.06828
570,0.06897
570.5,0.06829
571,0.06892
571.5,0.06865
572,0.06848
572.5,0.06863
573,0.06895
573.5,0.06891
574,0.06945
574.5,0.06876
575,0.06808
575.5,0.06918
576,0.06919
576.5,0.06893
577,0.0692
577.5,0.06954
578,0.06912
578.5,0.06917
579,0.06965
579.5,0.06882
580,0.06941
580.5,0.06921
581,0.06946
581.5,0.06942
582,0.06982
582.5,0.06985
583,0.07005
583.5,0.06911
584,0.06955
584.5,0.06992
585,0.07031
585.5,0.06939
586,0.06969
586.5,0.0696
587,0.07009
587.5,0.06987
588,0.07052
588.5,0.07018
589,0.07018
589.5,0.07003
590,0.07081
590.5,0.06984
591,0.07
591.5,0.07099
592,0.07102
592.5,0.07055
593,0.07027
593.5,0.07027
594,0.0705
594.5,0.07114
595,0.07069
595.5,0.07114
596,0.07062
596.5,0.0705
597,0.07046
597.5,0.07086
598,0.07121
598.5,0.07052
599,0.07172
599.5,0.07141
600,0.07126
600.5,0.07208
601,0.07194
601.5,0.07148
602,0.07127
602.5,0.07083
603,0.071
603.5,0.0712
604,0.07115
604.5,0.0717
605,0.07182
605.5,0.07185
606,0.07267
606.5,0.07226
607,0.07176
607.5,0.07209
608,0.07214
608.5,0.0723
609,0.07198
609.5,0.0727
610,0.07321
610.5,0.07295
611,0.07324
611.5,0.07285
612,0.07291
612.5,0.07416
613,0.07232
613.5,0.07273
614,0.07369
614.5,0.07297
615,0.07286
615.5,0.07355
616,0.07386
616.5,0.07373
617,0.07359
617.5,0.07374
618,0.07372
618.5,0.07333
619,0.0744
619.5,0.07465
620,0.07375
620.5,0.07458
621,0.07443
621.5,0.07426
622,0.07468
622.5,0.07466
623,0.07471
623.5,0.07479
624,0.07486
624.5,0.07456
625,0.07491
625.5,0.07432
626,0.07429
626.5,0.07492
627,0.07455
627.5,0.07493
628,0.07579
628.5,0.07498
629,0.07513
629.5,0.07514
630,0.07545
630.5,0.07589
631,0.07576
631.5,0.07614
632,0.07584
632.5,0.07551
633,0.07579
633.5,0.07594
634,0.07644
634.5,0.07616
635,0.07609
635.5,0.07699
636,0.07623
636.5,0.07648
637,0.07595
637.5,0.0767
638,0.07682
638.5,0.07692
639,0.07749
639.5,0.07751
640,0.0767
640.5,0.07786
641,0.07748
641.5,0.07781
642,0.0778
642.5,0.07673
643,0.07687
643.5,0.07762
644,0.07791
644.5,0.07729
645,0.07773
645.5,0.07782
646,0.07848
646.5,0.07869
647,0.07733
647.5,0.07884
648,0.0783
648.5,0.07848
649,0.07803
649.5,0.07858
650,0.07891
650.5,0.07816
651,0.07927
651.5,0.07836
652,0.07776
652.5,0.07901
653,0.07949
653.5,0.07883
654,0.07923
654.5,0.07944
655,0.07839
655.5,0.07953
656,0.07885
656.5,0.07953
657,0.07864
657.5,0.07993
658,0.07925
658.5,0.08017
659,0.07959
659.5,0.07948
660,0.07907
660.5,0.07928
661,0.07953
661.5,0.08048
662,0.07857
662.5,0.08052
663,0.08029
663.5,0.08003
664,0.08033
664.5,0.08125
665,0.08027
665.5,0.08016
666,0.08076
666.5,0.08037
667,0.08147
667.5,0.08123
668,0.08044
668.5,0.0807
669,0.08037
669.5,0.08109
670,0.08069
670.5,0.07971
671,0.08151
671.5,0.08057
672,0.08066
672.5,0.08105
673,0.08116
673.5,0.08079
674,0.08147
674.5,0.08109
675,0.08147
675.5,0.08128
676,0.08123
676.5,0.08168
677,0.08151
677.5,0.08144
678,0.08104
678.5,0.08217
679,0.08218
679.5,0.08173
680,0.08149
680.5,0.08182
681,0.08164
681.5,0.08223
682,0.08251
682.5,0.0816
683,0.08195
683.5,0.08192
684,0.08299
684.5,0.08208
685,0.08218
685.5,0.08191
686,0.08194
686.5,0.08286
687,0.0831
687.5,0.08249
688,0.08236
688.5,0.08337
689,0.08241
689.5,0.08325
690,0.08311
690.5,0.08299
691,0.08304
691.5,0.08303
692,0.0832
692.5,0.08281
693,0.08287
693.5,0.08399
694,0.08338
694.5,0.08365
695,0.08276
695.5,0.0829
696,0.08407
696.5,0.08355
697,0.08287
697.5,0.08386
698,0.08346
698.5,0.08329
699,0.08313
699.5,0.08371
700,0.08402
700.5,0.08364
701,0.08373
701.5,0.08471
702,0.08446
702.5,0.08313
703,0.08315
703.5,0.08425
704,0.08458
704.5,0.08577
705,0.08457
705.5,0.08432
706,0.08462
706.5,0.08422
707,0.08492
707.5,0.08334
708,0.08471
708.5,0.08519
709,0.08369
709.5,0.08576
710,0.08523
710.5,0.08428
711,0.08446
711.5,0.08512
712,0.0839
712.5,0.08443
713,0.08464
713.5,0.08479
714,0.0845
714.5,0.08516
715,0.0848
715.5,0.08511
716,0.08507
716.5,0.08454
717,0.08503
717.5,0.08541
718,0.08506
718.5,0.08553
719,0.08558
719.5,0.08496
720,0.08605
720.5,0.08602
721,0.08457
721.5,0.086
722,0.08481
722.5,0.08647
723,0.08534
723.5,0.08459
724,0.08638
724.5,0.08538
725,0.0853
725.5,0.08586
726,0.08477
726.5,0.08661
727,0.08567
727.5,0.08544
728,0.08601
728.5,0.08428
729,0.08511
729.5,0.08545
730,0.08637
730.5,0.08598
731,0.08589
731.5,0.08609
732,0.08551
732.5,0.08548
733,0.08528
733.5,0.08468
734,0.08607
734.5,0.08641
735,0.08712
735.5,0.08573
736,0.08629
736.5,0.08679
737,0.08698
737.5,0.08583
738,0.08597
738.5,0.08684
739,0.08648
739.5,0.08683
740,0.08525
740.5,0.08686
741,0.08588
741.5,0.08689
742,0.08652
742.5,0.08572
743,0.0859
743.5,0.0856
744,0.08699
744.5,0.08684
745,0.08714
745.5,0.08586
746,0.08636
746.5,0.08633
747,0.08702
747.5,0.08576
748,0.08543
748.5,0.08657
749,0.08695
749.5,0.08763
750,0.08566
750.5,0.08596
751,0.08703
751.5,0.086
752,0.08611
752.5,0.08686
753,0.08698
753.5,0.08599
754,0.08628
754.5,0.08661
755,0.08561
755.5,0.08674
756,0.08546
756.5,0.08647
757,0.0862
757.5,0.08624
758,0.08544
758.5,0.08702
759,0.08558
759.5,0.08663
760,0.08567
760.5,0.08629
761,0.08619
761.5,0.08656
762,0.08616
762.5,0.08701
763,0.08645
763.5,0.08546
764,0.08574
764.5,0.08595
765,0.0859
765.5,0.08701
766,0.08604
766.5,0.08619
767,0.08592
767.5,0.08638
768,0.0871
768.5,0.08614
769,0.08675
769.5,0.08587
770,0.08665
770.5,0.08572
771,0.08629
771.5,0.08513
772,0.08684
772.5,0.0863
773,0.08556
773.5,0.0859
774,0.08734
774.5,0.0865
775,0.08587
775.5,0.08669
776,0.08754
776.5,0.08654
777,0.08648
777.5,0.0864
778,0.08635
778.5,0.08708
779,0.08478
779.5,0.0865
780,0.08581
780.5,0.08629
781,0.08675
781.5,0.08535
782,0.0852
782.5,0.087
783,0.08647
783.5,0.08665
784,0.08542
784.5,0.08607
785,0.08699
785.5,0.08515
786,0.08641
786.5,0.08615
787,0.08532
787.5,0.08605
788,0.08582
788.5,0.08635
789,0.08539
789.5,0.08547
790,0.08571
790.5,0.08719
791,0.08555
791.5,0.08634
792,0.08606
792.5,0.08602
793,0.08519
793.5,0.08556
794,0.08384
794.5,0.08493
795,0.08553
795.5,0.08499
796,0.08527
796.5,0.08617
797,0.08508
797.5,0.08564
798,0.08453
798.5,0.0848
799,0.08565
799.5,0.08526
800,0.08521
800.5,0.08569
801,0.08574
801.5,0.08509
802,0.08346
802.5,0.08471
803,0.08557
803.5,0.08517
804,0.08436
804.5,0.08461
805,0.08585
805.5,0.08409
806,0.08478
806.5,0.08442
807,0.08517
807.5,0.08468
808,0.08455
808.5,0.08364
809,0.08451
809.5,0.08505
810,0.08447
810.5,0.08448
811,0.085
811.5,0.08508
812,0.08345
812.5,0.08433
813,0.08351
813.5,0.08371
814,0.08395
814.5,0.08464
815,0.08521
815.5,0.08374
816,0.08267
816.5,0.08393
817,0.08353
817.5,0.08524
818,0.08398
818.5,0.0846
819,0.08467
819.5,0.08257
820,0.08365
820.5,0.0832
821,0.08367
821.5,0.08288
822,0.08242
822.5,0.08195
823,0.08101
823.5,0.08128
824,0.08206
824.5,0.08261
825,0.08332
825.5,0.08274
826,0.08289
826.5,0.08253
827,0.08243
827.5,0.08178
828,0.08125
828.5,0.08179
829,0.08234
829.5,0.08234
830,0.08212
830.5,0.08271
831,0.08216
831.5,0.08142
832,0.08206
832.5,0.0824
833,0.0823
833.5,0.08067
834,0.08065
834.5,0.08094
835,0.08059
835.5,0.08137
836,0.08209
836.5,0.08211
837,0.08206
837.5,0.08239
838,0.08172
838.5,0.08152
839,0.08191
839.5,0.08144
840,0.08199
840.5,0.0825
841,0.07994
841.5,0.08063
842,0.08095
842.5,0.08151
843,0.0821
843.5,0.08211
844,0.08042
844.5,0.08109
845,0.08192
845.5,0.08125
846,0.08196
846.5,0.08099
847,0.08085
847.5,0.08208
848,0.08237
848.5,0.08198
849,0.08071
849.5,0.08064
850,0.08006
850.5,0.0804
851,0.08016
851.5,0.08124
852,0.08082
852.5,0.08059
853,0.07986
853.5,0.08059
854,0.08001
854.5,0.08043
855,0.07962
855.5,0.07828
856,0.07971
856.5,0.07919
857,0.08035
857.5,0.07877
858,0.0796
858.5,0.07828
859,0.0791
859.5,0.08048
860,0.0798
860.5,0.07908
861,0.07869
861.5,0.07835
862,0.07878
862.5,0.07744
863,0.07885
863.5,0.07917
864,0.07923
864.5,0.07919
865,0.07793
865.5,0.07767
866,0.07697
866.5,0.07829
867,0.07748
867.5,0.07745
868,0.07865
868.5,0.07662
869,0.07713
869.5,0.07799
870,0.07634
870.5,0.07769
871,0.0768
871.5,0.07623
872,0.07737
872.5,0.07815
873,0.07853
873.5,0.07826
874,0.07741
874.5,0.07759
875,0.07666
875.5,0.07626
876,0.0761
876.5,0.07711
877,0.07716
877.5,0.07663
878,0.07561
878.5,0.07748
879,0.07633
879.5,0.07675
880,0.07549
880.5,0.07528
881,0.07523
881.5,0.07433
882,0.07448
882.5,0.07402
883,0.07443
883.5,0.07527
884,0.07529
884.5,0.07593
885,0.07568
885.5,0.07517
886,0.07514
886.5,0.07545
887,0.07472
887.5,0.07483
888,0.07592
888.5,0.07508
889,0.07442
889.5,0.07512
890,0.07484
890.5,0.07472
891,0.07496
891.5,0.07486
892,0.07527
892.5,0.07445
893,0.07442
893.5,0.07372
894,0.07328
894.5,0.07402
895,0.07268
895.5,0.07293
896,0.07244
896.5,0.07263
897,0.07308
897.5,0.07308
898,0.07394
898.5,0.07372
899,0.07347
899.5,0.07396
900,0.07314
900.5,0.07347
901,0.0736
901.5,0.07389
902,0.07324
902.5,0.07299
903,0.07311
903.5,0.07289
904,0.07241
904.5,0.07126
905,0.07101
905.5,0.07106
906,0.07128
906.5,0.07207
907,0.07176
907.5,0.07243
908,0.07252
908.5,0.07207
909,0.07189
909.5,0.07221
910,0.07212
910.5,0.07238
911,0.07251
911.5,0.07217
912,0.07168
912.5,0.07229
913,0.07121
913.5,0.07104
914,0.07039
914.5,0.07084
915,0.07014
915.5,0.06943
916,0.06873
916.5,0.06813
917,0.06861
917.5,0.06863
918,0.06914
918.5,0.06951
919,0.06975
919.5,0.06889
920,0.0694
920.5,0.06969
921,0.06989
921.5,0.06904
922,0.06932
922.5,0.06961
923,0.0702
923.5,0.06897
924,0.06938
924.5,0.06965
925,0.0684
925.5,0.06949
926,0.06906
926.5,0.06964
927,0.06831
927.5,0.06805
928,0.06916
928.5,0.06915
929,0.06903
929.5,0.06961
930,0.06733
930.5,0.06839
931,0.06785
931.5,0.06702
932,0.06735
932.5,0.06786
933,0.06804
933.5,0.06803
934,0.06774
934.5,0.06743
935,0.06803
935.5,0.06773
936,0.06698
936.5,0.06723
937,0.06652
937.5,0.06552
938,0.06546
938.5,0.06532
939,0.06552
939.5,0.06515
940,0.06548
940.5,0.06565
941,0.0653
941.5,0.06565
942,0.06592
942.5,0.06449
943,0.06585
943.5,0.06476
944,0.06505
944.5,0.06477
945,0.06485
945.5,0.06561
946,0.06404
946.5,0.06488
947,0.06448
947.5,0.06509
948,0.06421
948.5,0.06517
949,0.06367
949.5,0.06424
950,0.06393
950.5,0.06375
951,0.06365
951.5,0.06339
952,0.06308
952.5,0.06297
953,0.06317
953.5,0.06376
954,0.06356
954.5,0.06332
955,0.06415
955.5,0.06417
956,0.06455
956.5,0.06387
957,0.06274
957.5,0.06388
958,0.06334
958.5,0.06262
959,0.06361
959.5,0.06284
960,0.0635
960.5,0.06294
961,0.06139
961.5,0.06301
962,0.06254
962.5,0.06228
963,0.06322
963.5,0.06304
964,0.06261
964.5,0.06178
965,0.06221
965.5,0.06281
966,0.06176
966.5,0.06213
967,0.06149
967.5,0.06134
968,0.06141
968.5,0.06081
969,0.06156
969.5,0.06125
970,0.06067
970.5,0.06102
971,0.06059
971.5,0.06094
972,0.06066
972.5,0.06072
973,0.06043
973.5,0.06007
974,0.06135
974.5,0.06109
975,0.06078
975.5,0.0606
976,0.06008
976.5,0.0607
977,0.06065
977.5,0.05975
978,0.06001
978.5,0.05965
979,0.0583
979.5,0.059
980,0.05748
980.5,0.0576
981,0.058
981.5,0.05825
982,0.0586
982.5,0.05917
983,0.05909
983.5,0.06025
984,0.0591
984.5,0.05994
985,0.05907
985.5,0.05888
986,0.06001
986.5,0.05986
987,0.05949
987.5,0.05939
988,0.05745
988.5,0.05825
989,0.05769
989.5,0.05872
990,0.05834
990.5,0.05735
991,0.0571
991.5,0.05825
992,0.05732
992.5,0.05567
993,0.05508
993.5,0.05566
994,0.05606
994.5,0.05664
995,0.05612
995.5,0.05571
996,0.05595
996.5,0.05469
997,0.0557
997.5,0.0557
998,0.05604
998.5,0.05424
999,0.055
999.5,0.05449
1000,0.05548
1000.5,0.05526
1001,0.05533
1001.5,0.05543
1002,0.05476
1002.5,0.05439
1003,0.05495
1003.5,0.05488
1004,0.05464
1004.5,0.05296
1005,0.05353
1005.5,0.0547
1006,0.05408
1006.5,0.05336
1007,0.05356
1007.5,0.05345
1008,0.05219
1008.5,0.05312
1009,0.05291
1009.5,0.05307
1010,0.05251
1010.5,0.05305
1011,0.05246
1011.5,0.05272
1012,0.05298
1012.5,0.05275
1013,0.05332
1013.5,0.0537
1014,0.05386
1014.5,0.05411
1015,0.05295
1015.5,0.05147
1016,0.05291
1016.5,0.05296
1017,0.05295
1017.5,0.05273
1018,0.05238
1018.5,0.05146
1019,0.0532
1019.5,0.05042
1020,0.05168
1020.5,0.05338
1021,0.05149
1021.5,0.05043
1022,0.0524
1022.5,0.05076
1023,0.05269
1023.5,0.05192
1024,0.05089
1024.5,0.05012
1025,0.05189
1025.5,0.04965
1026,0.0512
1026.5,0.051
1027,0.04912
1027.5,0.05023
1028,0.04755
1028.5,0.04982
1029,0.04958
1029.5,0.04871
1030,0.04767
1030.5,0.0486
1031,0.05022
1031.5,0.04901
1032,0.0482
1032.5,0.04755
1033,0.05107
1033.5,0.04957
1034,0.04927
1034.5,0.05029
1035,0.05001
1035.5,0.04939
1036,0.04918
1036.5,0.04782
1037,0.04636
1037.5,0.04907
1038,0.04852
1038.5,0.04981
1039,0.04856
1039.5,0.04975
1040,0.04723
1040.5,0.0501
1041,0.04835
1041.5,0.04692
1042,0.04883
1042.5,0.04459
1043,0.04759
1043.5,0.05125
1044,0.04672
1044.5,0.04947
1045,0.04989
1045.5,0.04596
1046,0.0472
1046.5,0.04602
1047,0.04539
1047.5,0.04936
1048,0.04991
1048.5,0.04487
1049,0.04567
1049.5,0.04956
1050,0.04913
1050.5,0.04791
1051,0.0463
1051.5,0.04668
1052,0.05203
1052.5,0.0452
1053,0.04852
1053.5,0.04869
1054,0.04703
1054.5,0.0473
1055,0.04616
1055.5,0.04827
1056,0.04936
